location,address,description,vendor,lat,lon,days_on_site,amenities,bathrooms,parking_lots,num_bedrooms,m2,final_price,price_square_meter,street,neighbourhood,postcode
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Moderno loft de 69.1m2 con excelentes acabados ubicado en la colonia Roma Norte, rodeado de algunas de las avenidas más importantes de la ciudad, con fácil acceso a transporte público y ecobicis, la movilidad no será un problema para ti. Rodeado de lugares y actividades culturales, diversidad gastronómica, centros comerciales, museos, bares, etc. Entrega inmediata.Zona segura para caminar o ejercitarte en alguno de sus múltiples parques, pasear a tu mascota o andar en bicicleta. El vestíbulo del edificio está iluminado centralmente a través de un cubo de 20 m de altura. Cuenta con roof garden común que ofrece una maravillosa vista a cualquier orientación de la CDMX.La cocina (italiana) se entrega completamente equipada con estufa y horno de excelente calidad (marca Teka). Entregamos con persianas, centro de lavado y piso de ingeniería.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,2,1,1,67,4278000,63850.74627,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Fabuloso depa en venta, excelente oportunidad de inversión (entrega inmediata) o para vivir en una de las mejores zonas de la CMDX, la colonia Roma, rodeado de algunas de las avenidas más importantes de la ciudad, con fácil acceso a transporte público y ecobicis, la movilidad no será un problema para ti.Rodeado de lugares y actividades culturales, diversidad gastronómica, centros comerciales, museos, bares, etc. La zona es super segura para caminar o ejercitarte en alguno de sus múltiples parques, pasear a tu mascota o andar en bicicleta. El vestíbulo del edificio está iluminado centralmente a través de un cubo de 20 m de altura. Cuenta con roof garden común que ofrece una maravillosa vista a cualquier orientación de la CDMX.La cocina (italiana) se entrega completamente equipada con estufa y horno de excelente calidad (marca Teka). Entregamos con persianas, centro de lavado y piso de ingeniería.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,2,1,2,71,4390000,61830.98592,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Fabuloso depa en venta, excelente oportunidad de inversión (entrega inmediata) o para vivir en una de las mejores zonas de la CMDX, la colonia Roma, rodeado de algunas de las avenidas más importantes de la ciudad, con fácil acceso a transporte público y ecobicis, la movilidad no será un problema para ti.Rodeado de lugares y actividades culturales, diversidad gastronómica, centros comerciales, museos, bares, etc. La zona es super segura para caminar o ejercitarte en alguno de sus múltiples parques, pasear a tu mascota o andar en bicicleta. El vestíbulo del edificio está iluminado centralmente a través de un cubo de 20 m de altura. Cuenta con roof garden común que ofrece una maravillosa vista a cualquier orientación de la CDMX.1 habitación y un espacio para un estudio.La cocina (italiana) se entrega completamente equipada con estufa y horno de excelente calidad (marca Teka). Entregamos con persianas, centro de lavado y piso de ingeniería.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,2,1,1,74,4780000,64594.59459,Calle Colima,Colonia Roma Norte,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Desarrollo inmobiliario localizado en uno de los barrios con mayor tradicion de CDMX : Roma Sur. 19 departamentos que van desde 100 a 125 M2,todos con espacios privados exteriores,desarrollandose entre amplias terrazas y luminosos patios interiores Cuenta con estancia comedor con balcon,cocina integrada,cuarto de lavado,patio,Rec, Ppal. con baño,recamara y estudio con baño compartido,1/2 baño,Roof garden comun,2 cajones de estacionamiento1 elevadorCercano a las vialidades mas importantes de la ciudadCultura,comercio, gastronomia enmarcan en proyectoDisponible: PB-104Contactanos!!!!!Somos Rent-a-House",Rent A House Cdmx,19.405299,-99.1649891,7,4.081349206,3,2,2,120,7550000,62916.66667,Calle Quintana Roo,Colonia Roma Sur,6760
"Roma Norte, Cuauhtémoc, Distrito Federal",,"MLS #21-2489Excelente departamento en el corazon de la colonia Roma, se encuentra en un edificio mixto con una planta comercial y 11 niveles de departamentos con los mejores acabados. El departamento cuenta con 1 habitacion, 1 baño, cocina integral, 1 cajon de estacionamiento, cuenta con altura de 3m, departamento inteligente con sistema de LUTRON en iluminacion y audio. El residencial cuenta con las mejores amenidades como: Bussines center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzas, Huerto auto sustentable, Area de meditacion, espacio para yoga, espacio para lectura.Contactanos somos Rent-A House!!!",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,1,1,1,39,2980000,76410.25641,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Desarrollo de 12 niveles con los mejores acabados y vistas inmejorables. Departamento de 37 m2, altura libre de 3m, espacios modulares, departamentos inteligentes con sistema LUTRON en iluminación y audio. Cuenta con Sky Bar, Restaurante. LLama ya! Somos Rent-A House!!!",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,1,1,1,37,3848548,104014.8108,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Bello y exclusivo desarrollo, en Roma Norte, son 11 departamentos en total distribuidos en 6 niveles, acabados de lujo, y Balcon privado. Este condominio cuenta con Vigilancia privada, Roof Garden Comun, cercano a parques, escuelas y centros comerciales. Ven a verlo! te enamoraras.",Rent A House Cdmx,19.4181605,-99.1584569,7,4.081349206,2,1,2,78,4826900,61883.33333,Calle Córdoba,Centro Urbano Benito Juárez,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Bello y exclusivo desarrollo, en Roma Norte, son 11 departamentos en total distribuidos en 6 niveles, acabados de lujo, y Balcon privado. Este condominio cuenta con Vigilancia privada, Roof Garden Comun, cercano a parques, escuelas y centros comerciales. Ven a verlo! te enamoraras.",Rent A House Cdmx,19.4181605,-99.1584569,7,4.081349206,2,1,2,78,4826900,61883.33333,Calle Córdoba,Centro Urbano Benito Juárez,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Desarrollo de 8 Dptos. localizado en Roma Sur, cercano a vialidades importantes. Departamento de 64 M2 mas terraza de 14 M2 ,estancia comedor, cocina integral , zona de lavado, 2 recamaras , la principal con baño privado, 2 baños Roof Garden comun de 20 M2 Elevador Seguridad 24 H En PB 2 comercios Ubicado en esquina",Rent A House Cdmx,19.405299,-99.1649891,7,4.081349206,2,1,2,74,4229827,57159.82432,Calle Quintana Roo,Colonia Roma Sur,6760
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Bello y exclusivo desarrollo, en Roma Norte, son 11 departamentos en total distribuidos en 6 niveles, acabados de lujo, y Balcon privado. Este condominio cuenta con Vigilancia privada, Roof Garden Comun, cercano a parques, escuelas y centros comerciales. Ven a verlo! te enamoraras.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,1,1,2,78,4483800,57484.61538,Calle Colima,Colonia Roma Norte,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Proyecto integral que consta de un area comercial y un desarrollo residencial con 174 departamentos de maximo confort, lujo y sofisticación. Cuenta con una ubicacion privilegiada donde podras disfrutar de una vida en armonia con su entorno. Bajo el concepto: Seamless living, donde la comodidad y experiencia es medular para una vida intuitiva y practica.",Rent A House Cdmx,19.4356338,-99.1495107,7,4.081349206,1,1,1,45,3615970,80354.88889,Avenida Paseo de la Reforma Norte,Colonia Tabacalera,6040
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Excelente departamento en el corazon de la colonia Roma, se encuentra en un edificio mixto con una planta comercial y 11 niveles de departamentos con los mejores acabados. El departamento cuenta con 1 habitacion, 1 baño, cocina integral, 1 cajon de estacionamiento, cuenta con altura de 3m, departamento inteligente con sistema de LUTRON en iluminacion y audio. El residencial cuenta con las mejores amenidades como: Bussines center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzas, Huerto auto sustentable, Area de meditacion, espacio para yoga, espacio para lectura.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,1,1,1,39,2980000,76410.25641,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Moderno loft de entrega inmediata ubicado en la colonia Roma, rodeado de algunas de las avenidas más importantes de la ciudad, con fácil acceso a transporte público y ecobicis, la movilidad no será un problema para ti. Rodeado de lugares y actividades culturales, diversidad gastronómica, centros comerciales, museos, bares, etc.Zona segura para caminar o ejercitarte en alguno de sus múltiples parques, pasear a tu mascota o andar en bicicleta. El vestíbulo del edificio está iluminado centralmente a través de un cubo de 20 m de altura. Cuenta con roof garden común que ofrece una maravillosa vista a cualquier orientación de la CDMX.La cocina (italiana) se entraga completamente equipada con estufa y horno de excelente calidad (marca Teka). Entregamos con persianas, centro de lavado y piso de ingeniería.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,2,1,1,67,4250000,63432.83582,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Moderno loft de 69m2 (entrega inmediata) ubicado en la colonia Roma, rodeado de algunas de las avenidas más importantes de la ciudad, con fácil acceso a transporte público y ecobicis, la movilidad no será un problema para ti. Rodeado de lugares y actividades culturales, diversidad gastronómica, centros comerciales, museos, bares, etc.Zona segura para caminar o ejercitarte en alguno de sus múltiples parques, pasear a tu mascota o andar en bicicleta. El vestíbulo del edificio está iluminado centralmente a través de un cubo de 20 m de altura. Cuenta con roof garden común que ofrece una maravillosa vista a cualquier orientación de la CDMX.La cocina (italiana) se entrega completamente equipada con estufa, lavavajillas y horno de excelente calidad (marca Teka). Entregamos con persianas, centro de lavado y piso de ingeniería. La estancia y la habitación tienen un muro divisiorio. La recámara tiene vestidor.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,2,1,1,69,4335000,62826.08696,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Bonito loft, con excelente iluminación ubicado en la colonia Roma, rodeado de algunas de las avenidas más importantes de la ciudad, con fácil acceso a transporte público y ecobicis, la movilidad no será un problema para ti. Rodeado de lugares y actividades culturales, diversidad gastronómica, centros comerciales, museos, bares, etc. Entrega inmediata.Zona segura para caminar o ejercitarte en alguno de sus múltiples parques, pasear a tu mascota o andar en bicicleta. El vestíbulo del edificio está iluminado centralmente a través de un cubo de 20 m de altura. Cuenta con roof garden común que ofrece una maravillosa vista a cualquier orientación de la CDMX.La cocina (italiana) se entrega completamente equipada con estufa y horno de excelente calidad (marca Teka). Entregamos con persianas, centro de lavado y piso de ingeniería.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,1,1,1,57,3725000,65350.87719,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Departamento en venta en una de las zonas mas exclusivas y con mayor plusvalia en la Ciudad de Mexico, rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, asi como de vialidades importantes como Avenida de los Insurgentes, Viaducto Miguel Aleman. Se trata de un estilo que mezcla la comodidad y la modernidad con lineas simples y espacios amplios y luminosos que reflejan un hogar en el equilibrio perfecto. El deparamento de 65 m2, 2 habitaciones, 2 baños, cocina equipada, area de lavado, sala comedor, 1 lugar de estacionamiento, altura de 2.80m. Cuenta con amenidades como: Gimnasio, Roof Garden, Salon de eventos, Grill, Pet station, Jardines, Horno para pizza, Teppanyaki. Somos Rent-A House!!!",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,2,1,2,65,4330000,66615.38462,Calle Colima,Colonia Roma Norte,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Exclusivo departamento ubicado en la colonia con mas tradicion de la ciudad. Al estar en una zona centrica y estar delimitada por las avenidas mas importantes de la ciudad es un gran ejemplo de conectividad, historia, arquitectura, comercio, hospitales y sobre todo una gran actividad cultural. El departamento de 91 m2, 2 habitaciones, 2 baños, cocina equipada, cuarto de lavado, sala, comedor, 1 lugar de estacionamiento.",Rent A House Cdmx,19.405299,-99.1649891,7,4.081349206,2,1,2,91,5145000,56538.46154,Calle Quintana Roo,Colonia Roma Sur,6760
"Narvarte, Benito Juárez, Distrito Federal",,"MLS #21-4878 MEMúdese a Narvarte a este lindo departamento de 2 recámaras, 2 baños, 2 estacionamientos, con balcón de 19m2 y 76m2 construido con opción de comprar roof privado.El desarrollo de 76 departamentos distribuidos en 11 niveles, cuenta con Gym, Ludoteca, Salón de Adultos y Roof Garden común amueblado con asadores, seguridad 24 horas, planta eléctrica . Quedan pocos, no deje pasar esta oportunidad¡¡¡¡Llama ya somos Rent-A-House!!!!!!Mari Carmen Escandón 5585519109",Rent A House Cdmx,19.3941411,-99.1425459,7,4.081349206,2,2,3,122,5795000,47500,Calle Andalucía,Colonia Álamos,3400
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Bello y exclusivo desarrollo, en Roma Norte, son 11 departamentos en total distribuidos en 6 niveles, acabados de lujo, y Balcon privado. Este condominio cuenta con Vigilancia privada, Roof Garden privado, cercano a parques, escuelas y centros comerciales. Ven a verlo! te enamoraras. Adicionalmente hay otro roof garden comun y el departamento cuenta con una amplia bodega.",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,3,2,2,173,9151840,52900.80925,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"#22-2868GCHDepartamento en venta en una de las zonas mas exclusivas y con mayor plusvalia en la Ciudad de Mexico, rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, asi como de vialidades importantes como Avenida de los Insurgentes, Viaducto Miguel Aleman. Se trata de un estilo que mezcla la comodidad y la modernidad con lineas simples y espacios amplios y luminososque reflejan un hogar en el equilibrio perfecto.El deparamento de 43 m2, 1 habitacion, 1 baño, cocina equipada, area de lavado, sala comedor, 1 lugar de estacionamiento, altura de 2.80m.Cuenta con amenidades como: Gimnasio, Roof Garden, Salon de eventos, Grill, Pet station, Jardines, Horno para pizza, Teppanyaki.Somos Rent-A House!!!",Rent A House Cdmx,19.4195256,-99.162549,7,4.081349206,1,1,1,43,3370000,78372.09302,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal","Roma Norte, Ciudad De México, Cdmx, México","Venta de departamentos de 1 planta, en Roma Norte, desde 63 hasta 123 m² (altura 2.80 m²) y precios desde $4,454,120.°° hasta $7,264,180.°° Constan de sala comedor, cocina equipada, 1 o 2 recámaras con vestidor y clóset, 2 baños completos, área de lavado, algunos con balcón, elevador y cochera techada con portón eléctrico para 1 auto. Con interfono, cisterna, gas natural, línea de teléfono, acceso a internet y TV de paga. Lobby y recepción. Accesibilidad para adultos mayores y discapacidad. Amenities: juegos infantiles, jardín, salón de fiestas, gimnasio y roof garden. Tiene vigilancia 24 horas, control de acceso, CCTV y alarma. Entrega inmediata. Previa cita. Ven y conócelos!!!!!",Pireal Estate,19.4195256,-99.162549,3,4.081349206,2,1,1,63,4454120,70700.31746,Calle Colima,Colonia Roma Norte,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Amplio comodo ph con acabados de lujo, al mejor estilo de la Roma y ubicado en una de las calles mas culturales de la zona. Su distribucion 200m2 mas 84m2 de Roof G, 3 recamaras,family room, 3 baños, Sala Comedor Cocina integral con barra de granito 2 lugares de estacionamiento. Exclusivo edificio de solo 10 departamentos, vigilancia, elevador, Roof Garden, Asador y Gym",Rent A House Cdmx,19.4158401,-99.1596792,7,4.081349206,3,1,3,284,14700000,51760.56338,Calle Zacatecas,Colonia Roma Norte,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"SB22750REFUn hito arquitectonico en la Roma Sur por el impacto visual que representa, lo catapulta desde ya, como un referente inmobiliario en la zona. El residencial ofrece 27 unidades con diferentes tipologías, que brinda versatilidad inmobiliaria por cubrir un amplio abanico de necesidades acompanado con un nivel de diseno acorde a las exigencias del mercado actual.Desde la Planta baja, el residencial ofrece combinar lo residencial con 254 m2 comerciales, lo que brinda una exposición privilegiada, agregando valor adicional a la zona.La tipología de este modelo de departamento, cuenta en su interior con 145.13 m2, de los cuales son habitables 81.53 m2, 5.52 m2 de balcon (que comunica la sala con la recámara principal) y Roof Garden privado de 57.68 m2. Se distribuye en su interior en dos recamaras, cada una con su closet, la principal con abno privado y un segundo bano para la segunda recamara y las visitas. Comoda estancia con cocina abierta y area de lavado. Ofrece un lugar de estacionamiento, vigilancia y seguridad las 24 horas y terraza comun.",Rent A House Cdmx,19.4356338,-99.1495107,5,4.081349206,2,1,2,145,6084392,41961.32414,Avenida Paseo de la Reforma Norte,Colonia Tabacalera,6040
"Cuauhtémoc, Distrito Federal",,"YA TE VISTE VIVIENDO EN LA ROMA?CAMBIATE!A unos pasos de vias de acceso principales, comercios y transporte.Con descuentos de hasta el 60% sobre su valor de mercado.-Protegido en todo momento con contrato ante Notario Publico-Te acompañamos hasta la entrega fisica de tu propiedad-Te lo entregamos sin ningúnadeudo.-Pago unicamente de contado- No se aceptan Creditos, SOLO RECURSOS PROPIOS.Somos expertos en Remates Bancarios.APROVECHA estaoportunidad;permitenos asesorarte Y CAMBIA TU VIDA.Conócenos y Convéncete.LIC. UGALDE..WhatsApp 55 7925 9835INVIERTE INTELIGENTE Y ALCANZA LA CIMAHOY !!!",Rematadascom,19.4021495,-99.170374,3,4.081349206,2,1,3,111,2942543,26509.3964,Calle Bajío,Colonia Roma Sur,6100
"Roma Norte, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en complejo residencial, un desarrollo rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, así como de vialidades importantes como Av. de los insurgentes, Viad. Miguel Alemán que permitirán gozar de un estilo de vida cómodo, otorgando un acceso fácil a otros puntos de la ciudad.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV, llamadas por parte de la caseta de vigilancia para autorización de visita y servicios. ESPACIOS Y AMENIDADES: Recepción, elevadores, Gimnasio, Salón de eventos, Roof Garden, Grill, Jardines, Teppanyaki, Pet station,Horno para pizzaCARACTERÍSTICAS DEL ESPACIOESTADO: Con acabadosRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaBARRA: De granitoÁREA DE LAVADO: SiESTACIONAMIENTO: 1 espacioMETROS TOTALES: 132m2Terraza : 66 m2PRECIO $ 6,853,000.00",Incitybienesraices,19.4124955,-99.1577268,4,4,2,1,2,132,6853000,51916.66667,Calle Coahuila,Centro Urbano Benito Juárez,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"SB22750REFUn hito arquitectonico en la Roma Sur por el impacto visual que representa, lo catapulta desde ya, como un referente inmobiliario en la zona. El residencial ofrece 27 unidades con diferentes tipologías, que brinda versatilidad inmobiliaria por cubrir un amplio abanico de necesidades acompanado con un nivel de diseno acorde a las exigencias del mercado actual.Desde la Planta baja, el residencial ofrece combinar lo residencial con 254 m2 comerciales, lo que brinda una exposición privilegiada, agregando valor adicional a la zona.La tipología de este modelo de departamento, cuenta en su interior con 145.13 m2, de los cuales son habitables 81.53 m2, 5.52 m2 de balcon (que comunica la sala con la recámara principal) y Roof Garden privado de 57.68 m2. Se distribuye en su interior en dos recamaras, cada una con su closet, la principal con abno privado y un segundo bano para la segunda recamara y las visitas. Comoda estancia con cocina abierta y area de lavado. Ofrece un lugar de estacionamiento, vigilancia y seguridad las 24 horas y terraza comun.",Rent A House Cdmx,19.4356338,-99.1495107,5,4.081349206,2,1,2,145,6084392,41961.32414,Avenida Paseo de la Reforma Norte,Colonia Tabacalera,6040
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Hermoso y muy bien ubicado departamento en Roma Sur, acabados de primera, muy iluminados, son varios modelos de departamentos, a estrenar, Roof garden comun. bodega y opcion de un cajon de estacionamiento opcional.",Rent A House Cdmx,19.405299,-99.1649891,7,4.081349206,2,1,2,78,4100000,52564.10256,Calle Quintana Roo,Colonia Roma Sur,6760
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Amplio y comodo PH con acabados de lujo y totalmente amueblado, Al mejor estilo de la Roma y ubicado en una de las calles mas culturales de la zona . Su distribucion 200m2 mas 84m2 de Roof G, 3 recamaras,family room, 3 baños, Sala Comedor Cocina integral con barra de granito 2 lugares de estacionamiento. Exclusivo edificio de solo 10 departamentos, vigilancia, elevador, Roof Garden, Asadores.",Rent A House Cdmx,19.4158401,-99.1596792,7,4.081349206,3,2,3,284,14700000,51760.56338,Calle Zacatecas,Colonia Roma Norte,6700
"Cuauhtémoc, Distrito Federal",,"YA TE VISTE VIVIENDO EN LA ROMA?CAMBIATE!A unos pasos de vias de acceso principales, comercios y transporte.Con descuentos de hasta el 60% sobre su valor de mercado.-Protegido en todo momento con contrato ante Notario Publico-Te acompañamos hasta la entrega fisica de tu propiedad-Te lo entregamos sin ningúnadeudo.-Pago unicamente de contado- No se aceptan Creditos, SOLO RECURSOS PROPIOS.Somos expertos en Remates Bancarios.APROVECHA estaoportunidad;permitenos asesorarte Y CAMBIA TU VIDA.Conócenos y Convéncete.LIC. UGALDE..WhatsApp 55 7925 9835INVIERTE INTELIGENTE Y ALCANZA LA CIMAHOY !!!",Rematadascom,19.407944,-99.1675301,3,4.081349206,2,1,3,96,2327000,24239.58333,Avenida Insurgentes Sur,Colonia Hipódromo,6760
"Roma Norte, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en complejo residencial, un desarrollo rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, así como de vialidades importantes como Av. de los insurgentes, Viad. Miguel Alemán que permitirán gozar de un estilo de vida cómodo, otorgando un acceso fácil a otros puntos de la ciudad.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV, llamadas por parte de la caseta de vigilancia para autorización de visita y servicios. ESPACIOS Y AMENIDADES: Recepción, elevadores, Gimnasio, Salón de eventos, Roof Garden, Grill, Jardines, Teppanyaki, Pet station,Horno para pizzaCARACTERÍSTICAS DEL ESPACIOESTADO: Con acabadosRECAMARAS: 2CLOSETS: 1BAÑOS: 1ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaÁREA DE LAVADO: SiESTACIONAMIENTO: 1 espacioMETROS TOTALES: 59 m2PRECIO $4,290,000",Incitybienesraices,19.4124955,-99.1577268,4,3,1,1,2,59,4290000,72711.86441,Calle Coahuila,Centro Urbano Benito Juárez,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en complejo residencial, un desarrollo rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, así como de vialidades importantes como Av. de los insurgentes, Viad. Miguel Alemán que permitirán gozar de un estilo de vida cómodo, otorgando un acceso fácil a otros puntos de la ciudad.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV, llamadas por parte de la caseta de vigilancia para autorización de visita y servicios. ESPACIOS Y AMENIDADES: Recepción, elevadores, Gimnasio, Salón de eventos, Roof Garden, Grill, Jardines, Teppanyaki, Pet station,Horno para pizzaCARACTERÍSTICAS DEL ESPACIOESTADO: Con acabadosRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaBARRA: De granitoÁREA DE LAVADO: SiESTACIONAMIENTO: 1 espacioMETROS TOTALES: 64 m2PRECIO $ 4,312,000",Incitybienesraices,19.4124955,-99.1577268,4,4,2,1,2,64,4312000,67375,Calle Coahuila,Centro Urbano Benito Juárez,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en complejo residencial, un desarrollo rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, así como de vialidades importantes como Av. de los insurgentes, Viad. Miguel Alemán que permitirán gozar de un estilo de vida cómodo, otorgando un acceso fácil a otros puntos de la ciudad.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV, llamadas por parte de la caseta de vigilancia para autorización de visita y servicios. ESPACIOS Y AMENIDADES: Recepción, elevadores, Gimnasio, Salón de eventos, Roof Garden, Grill, Jardines, Teppanyaki, Pet station,Horno para pizzaCARACTERÍSTICAS DEL ESPACIOESTADO: Con acabadosRECAMARAS: 1 CLOSETS: 1BAÑOS: 1ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaBARRA: De granitoÁREA DE LAVADO: SiESTACIONAMIENTO: 1 espacioMETROS TOTALES: 41 m2PRECIO $3,269,750",Incitybienesraices,19.4124955,-99.1577268,4,2,1,1,1,41,3269750,79750,Calle Coahuila,Centro Urbano Benito Juárez,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en complejo residencial, un desarrollo rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, así como de vialidades importantes como Av. de los insurgentes, Viad. Miguel Alemán que permitirán gozar de un estilo de vida cómodo, otorgando un acceso fácil a otros puntos de la ciudad.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV, llamadas por parte de la caseta de vigilancia para autorización de visita y servicios. ESPACIOS Y AMENIDADES: Recepción, elevadores, Gimnasio, Salón de eventos, Roof Garden, Grill, Jardines, Teppanyaki, Pet station,Horno para pizzaCARACTERÍSTICAS DEL ESPACIOESTADO: Con acabadosRECAMARAS: 1 CLOSETS: 1BAÑOS: 1ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaBARRA: De granitoÁREA DE LAVADO: SiESTACIONAMIENTO: 1 espacioMETROS TOTALES: 43m2PRECIO $ 3,429,250",Incitybienesraices,19.4124955,-99.1577268,4,2,1,1,1,43,3429250,79750,Calle Coahuila,Centro Urbano Benito Juárez,6700
"Roma Norte, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en complejo residencial, un desarrollo rodeado de los mejores servicios, hospitales, escuelas y centros comerciales de primer nivel, así como de vialidades importantes como Av. de los insurgentes, Viad. Miguel Alemán que permitirán gozar de un estilo de vida cómodo, otorgando un acceso fácil a otros puntos de la ciudad.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV, llamadas por parte de la caseta de vigilancia para autorización de visita y servicios. ESPACIOS Y AMENIDADES: Recepción, elevadores, Gimnasio, Salón de eventos, Roof Garden, Grill, Jardines, Teppanyaki, Pet station,Horno para pizzaCARACTERÍSTICAS DEL ESPACIOESTADO: Con acabadosRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaBARRA: De granitoÁREA DE LAVADO: SiESTACIONAMIENTO: 1 espacioMETROS E TERRAZA: 63 m2METROS CONSTRUCCION: 63 m2METROS TOTALES: 126 m2PRECIO $ 6,600,000.00",Incitybienesraices,19.4124955,-99.1577268,4,4,2,1,2,126,6600000,52380.95238,Calle Coahuila,Centro Urbano Benito Juárez,6700
